"Package"|"Version"|"Priority"|"Depends"|"Imports"|"LinkingTo"|"Suggests"|"Enhances"|"License"|"License_is_FOSS"|"License_restricts_use"|"OS_type"|"Archs"|"MD5sum"|"NeedsCompilation"|"File"|"Repository"
"PCA4TS"|"0.1"|NA|"R (>= 3.1.1)"|"tseries"|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCAmixdata"|"2.2"|NA|NA|NA|NA|NA|NA|"GPL (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCDSpline"|"1.0"|NA|NA|"nleqslv (>= 2.2), matrixcalc (>= 1.0-3)"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCGSE"|"0.2"|NA|"R (>= 2.15.0), safe (>= 3.0.0), RMTstat, MASS"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCICt"|"0.5-4"|NA|"R (>= 2.12.0), methods, graphics"|NA|NA|"RUnit"|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCIT"|"1.5-3"|NA|"R (>= 2.10)"|NA|NA|"Rmpi"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCPS"|"1.0.3"|NA|"SYNCSA"|"ape, picante, phylobase, vegan"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCS"|"1.2"|NA|"statmod, multtest"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PCovR"|"2.6"|NA|"GPArotation, ThreeWay, MASS, Matrix"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PDM"|"0.1"|NA|"R (>= 3.1.0), jpeg"|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PDQutils"|"0.1.4"|NA|"R (>= 3.0.2)"|"orthopolynom, moments"|NA|"ggplot2, reshape2, testthat, knitr"|NA|"LGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PDSCE"|"1.2"|NA|"R (>= 2.10)"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PEGroupTesting"|"1.0"|NA|"R (>= 3.1.0)"|"stats"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PEIP"|"2.0-1"|NA|"R (>= 2.12)"|"bvls, Matrix, RSEIS, pracma"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PEMM"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PET"|"0.4.9"|NA|"adimpro (>= 0.4.2)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PGEE"|"1.4"|NA|"MASS, mvtnorm"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PGICA"|"1.0"|NA|NA|"parallel, fastICA"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PGM2"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PGRdup"|"0.2.2.1"|NA|"R (>= 3.0.2)"|"data.table (>= 1.9.3), igraph, stringdist (>= 0.9.4), stringi,
ggplot2, grid, gridExtra, methods, utils, stats"|NA|"diagram, wordcloud, microbenchmark, knitr"|NA|"GPL-2 | GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PHENIX"|"1.3"|NA|NA|"ppcor, SuppDists"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PHYLOGR"|"1.0.8"|NA|"R(>= 1.8.1)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PHeval"|"0.5.3"|NA|"R (>= 1.8.0), survival, graphics, splines"|NA|NA|NA|NA|"GPL (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PIGE"|"0.9"|NA|"snowfall,ARTP,xtable,survival"|NA|NA|NA|NA|"GPL (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PIGShift"|"1.0.1"|NA|"R (>= 2.10)"|"ape, mvtnorm"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PIPS"|"1.0.1"|NA|"R (>= 2.12.1)"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PKI"|"0.1-3"|NA|"R (>= 2.9.0), base64enc"|NA|NA|NA|"gmp"|"GPL-2 | GPL-3 | file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PKNCA"|"0.7.1"|NA|NA|"digest, doBy, plyr, nlme, parallel, lattice, stats, tidyr,
utils"|NA|"dplyr, knitr, testthat"|NA|"AGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PKPDmodels"|"0.3.2"|NA|"R(>= 2.13.0)"|"compiler"|NA|"lattice"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PK"|"1.3-3"|NA|"R (>= 2.2.1), utils"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PKgraph"|"1.7"|NA|"R (>= 2.10.0), RGtk2, gWidgetsRGtk2, cairoDevice, lattice,
rggobi, ggplot2, proto"|"RGtk2, gWidgetsRGtk2"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PKreport"|"1.5"|NA|"R (>= 2.7.0), methods, lattice, ggplot2"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PLIS"|"1.1"|NA|NA|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PLRModels"|"1.1"|NA|NA|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PLSbiplot1"|"0.1"|NA|"R (>= 3.0.0)"|NA|NA|"chemometrics, MASS, mixOmics, mvabund, pls, plsgenomics,
robustbase, SensoMineR"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PLordprob"|"1.0"|NA|"mnormt"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PMA"|"1.0.9"|NA|"R (>= 2.10), plyr, impute"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PMCMR"|"4.1"|NA|"R (>= 3.0.0), stats, base"|NA|NA|"multcompView, xtable, graphics"|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"POET"|"2.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PP"|"0.5.3"|NA|"R (>= 3.0)"|"Rcpp (>= 0.11.2)"|"Rcpp"|"testthat, roxygen2, knitr"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PPtreeViz"|"1.3.0"|NA|"R (>= 2.10),gridExtra, ggplot2"|"Rcpp"|"Rcpp, RcppArmadillo"|"MASS (>= 3.1-20),stats"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PPtree"|"2.3.0"|NA|NA|"MASS (>= 3.1-20), penalizedLDA (>= 1.0)"|NA|NA|NA|"LGPL-2.1"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PRIMsrc"|"0.6.3"|NA|"R (>= 3.0.2), parallel, survival, Hmisc, glmnet, MASS"|"graphics, grDevices, stats"|NA|NA|NA|"GPL (>= 3) | file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PRISMA"|"0.2-5"|NA|"R (>= 2.10), Matrix, gplots, ggplot2"|NA|NA|"tm (>= 0.6)"|NA|"GPL (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PROFANCY"|"1.0"|NA|"R (>= 2.15.2),Matrix,lattice,igraph"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PROTOLIDAR"|"0.1"|NA|NA|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PRROC"|"1.1"|NA|NA|NA|NA|"testthat, ggplot2"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PReMiuM"|"3.1.3"|NA|"R (>= 3.0.2)"|"Rcpp (>= 0.11), ggplot2 (>= 0.9.2.1), cluster, plotrix (>=
3.5), gamlss.dist (>= 4.3-1)"|"Rcpp, RcppEigen (>= 0.3), BH (>= 1.54)"|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PResiduals"|"0.2-4"|NA|NA|"MASS, Formula, rms, SparseM,"|NA|"survival"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PSAboot"|"1.1.4"|NA|"R (>= 3.0),graphics,ggplot2,PSAgraphics"|"
utils,Matching,MatchIt,modeltools,parallel,party,psych,reshape2,rpart,TriMatch,ggthemes,stats"|NA|"devtools,knitr,multilevelPSA"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PSAgraphics"|"2.1.1"|NA|"R (>= 2.14.0), rpart"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PSCBS"|"0.61.0"|NA|"R (>= 3.1.2), utils"|"R.methodsS3 (>= 1.7.0), R.oo (>= 1.19.0), R.utils (>= 2.2.0),
R.cache (>= 0.12.0), matrixStats (>= 0.50.1), DNAcopy (>=
1.40.0), listenv (>= 0.6.0), future (>= 0.11.0), parallel"|NA|"Hmisc (>= 3.16-0), R.rsp (>= 0.21.0), R.devices (>= 2.13.2),
ggplot2 (>= 1.0.1), aroma.light (>= 2.2.1)"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PSF"|"0.3"|NA|NA|"data.table, cluster, knitr, forecast"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PSM"|"0.8-10"|NA|"MASS, numDeriv, deSolve, ucminf"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PST"|"0.90"|NA|"R (>= 2.10), TraMineR, RColorBrewer"|"methods, stats4"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PTAk"|"1.2-12"|NA|"tensor"|"graphics, stats, utils"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PTE"|"1.0"|NA|"R (>= 3.0), doParallel"|NA|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PVAClone"|"0.1-6"|NA|"R (>= 2.15.0), dcmle (>= 0.3-0), dclone, stats4"|"methods, coda"|NA|"parallel"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PWD"|"1.0"|NA|NA|"Rcpp (>= 0.11.5), stats, graphics"|"Rcpp, RcppArmadillo"|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PabonLasso"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Pade"|"0.1-4"|NA|NA|"utils"|NA|"testthat"|NA|"GPL (>= 2) | BSD_2_clause + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PairViz"|"1.2.1"|NA|"TSP, gtools,graph,methods"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PairedData"|"1.0.1"|NA|"methods,graphics,MASS,gld,mvtnorm,lattice,ggplot2"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PanJen"|"0.1"|NA|"R (>= 3.1.0), mgcv, RColorBrewer, Formula, lasso2"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PanelCount"|"1.0.9"|NA|"R (>= 3.0.0)"|"Rcpp, statmod"|"Rcpp, RcppArmadillo"|NA|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Paneldata"|"1.0"|NA|NA|NA|NA|NA|NA|"Artistic-2.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ParDNAcopy"|"2.0"|NA|"DNAcopy, parallel"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ParallelForest"|"1.1.0"|NA|"R (>= 2.10), methods"|NA|NA|"knitr"|NA|"AGPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ParallelPC"|"1.2"|NA|NA|"methods"|NA|"bnlearn, pcalg, parallel, Rgraphviz"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ParallelTree"|"0.1.1"|NA|"ggplot2"|"stats"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ParamHelpers"|"1.9"|NA|NA|"BBmisc (>= 1.10), checkmate (>= 1.8.1), methods"|NA|"akima, eaf, emoa, GGally, ggplot2, gridExtra, irace (>=
1.0.7), lhs, plyr, reshape2, testthat"|NA|"BSD_2_clause + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ParentOffspring"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ParetoPosStable"|"1.1"|NA|"R (>= 3.0.0)"|"graphics, grDevices, stats, ADGofTest, lmom, foreach,
doParallel, parallel"|NA|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Pasha"|"0.99.21"|NA|"R (>= 3.2.0), parallel, GenomicAlignments"|"bitops, tools, methods, S4Vectors, IRanges, GenomicRanges,
ShortRead, Rsamtools, Biostrings, gtools, rtracklayer,
GenomeInfoDb"|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PathSelectMP"|"1.0"|NA|"R (>= 3.1.2)"|"mice, MplusAutomation"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PatternClass"|"1.5"|NA|"R (>= 2.14), SDMTools"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Peacock.test"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Peaks"|"0.2"|NA|"R (>= 2.5)"|NA|NA|NA|NA|"LGPL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PearsonDS"|"0.98"|NA|NA|NA|NA|"gsl"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PearsonICA"|"1.2-4"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PedCNV"|"0.1"|NA|"Rcpp (>= 0.10.4), RcppArmadillo (>= 0.3.900.0), ggplot2"|NA|"Rcpp, RcppArmadillo"|NA|NA|"MIT + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PenCoxFrail"|"1.0.1"|NA|"survival"|"Rcpp (>= 0.11.6), Matrix"|"Rcpp, RcppArmadillo"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PepPrep"|"1.1.0"|NA|"biomaRt, stringr"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Peptides"|"1.1.1"|NA|NA|NA|NA|"RUnit"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PerFit"|"1.4"|NA|"ltm, mirt"|"stats, graphics, fda, Hmisc, irtoys, MASS, Matrix"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PerMallows"|"1.12"|NA|"Rcpp (>= 0.10.3)"|"utils"|"Rcpp"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Perc"|"0.1.2"|NA|"R (>= 2.14.0)"|"stats, grDevices"|NA|"testthat, knitr, devtools, reshape2, lattice"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PerfMeas"|"1.2.1"|NA|"limma, graph, RBGL"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PerformanceAnalytics"|"1.4.3541"|NA|"R (>= 3.0.0), xts (>= 0.9)"|"zoo"|NA|"Hmisc, MASS, quantmod, gamlss, gamlss.dist, robustbase,
quantreg, gplots"|NA|"GPL-2 | GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PermAlgo"|"1.1"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PhViD"|"1.0.6"|NA|"R (>= 2.10), LBE, MCMCpack"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PharmPow"|"1.0"|NA|NA|"scatterplot3d"|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PharmacoGx"|"1.1.6"|NA|"R (>= 3.2)"|"Biobase, piano, magicaxis, RColorBrewer, parallel, caTools,
methods, downloader, stats, utils, graphics, grDevices, lsa"|NA|"xtable"|NA|"Artistic-2.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PhaseType"|"0.1.3"|NA|"coda, ggplot2, reshape"|NA|NA|"actuar"|NA|"GPL-2 | GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Phxnlme"|"1.0.0"|NA|"R (>= 2.10)"|"ggplot2, gridExtra, manipulate, grid, lattice, testthat"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PhyActBedRest"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PhySortR"|"1.0.7"|NA|"R (>= 3.0.0)"|"phytools, ape"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PhyloMeasures"|"1.1"|NA|NA|"ape"|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PhysActBedRest"|"1.0"|NA|"R (>= 2.10), chron, stringr"|"lubridate"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PhysicalActivity"|"0.1-1"|NA|"R (>= 2.10)"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Pijavski"|"1.0"|NA|NA|"Rcpp (>= 0.12.3)"|"Rcpp"|NA|NA|"LGPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PivotalR"|"0.1.17.45"|NA|"R (>= 2.14.0), methods, Matrix"|NA|NA|NA|"DBI, RPostgreSQL, shiny, testthat, tools, rpart"|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PlasmaMutationDetector"|"1.5.2"|NA|"R (>= 3.3.1), ggplot2 (>= 2.0.0), grid (>= 3.2.3),
GenomicRanges (>= 1.22.3), VariantAnnotation (>= 1.16.4)"|"S4Vectors (>= 0.8.7), Rsamtools (>= 1.22.0), rtracklayer (>=
1.30.1), robustbase (>= 0.92-5), SummarizedExperiment (>=
1.2.3)"|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PlayerRatings"|"1.0-1"|NA|NA|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PlotPrjNetworks"|"1.0.0"|NA|NA|"reshape2, ggplot2, grid"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PlotRegionHighlighter"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
